date,price,pressure,temp,dew_pt,uv_index,wind,humidity,visibility,precip
2008-04-16,0.9,1012.33,78.88,67.58,1.71,1.25,68.92,2.42,0.0
2008-04-17,0.95,1012.04,80.17,66.96,1.83,2.75,65.29,3.38,0.0
2008-04-18,0.95,1012.04,80.12,68.21,1.75,2.92,67.5,3.62,0.0
2008-04-19,0.95,1010.62,76.54,67.42,1.67,7.0,73.88,3.96,0.0
2008-04-20,0.95,1013.0,82.0,73.0,6.0,0.0,72.0,2.0,0.0
2008-04-21,0.95,1011.0,78.88,72.42,1.83,1.33,81.08,2.5,0.0
2008-04-22,0.95,1013.0,75.0,65.0,6.0,6.0,72.0,6.0,0.0
2008-04-23,1.0,1014.29,69.88,54.96,1.54,6.38,59.46,4.96,0.0
2008-04-24,0.88,1014.21,70.67,54.83,2.29,3.12,58.29,3.42,0.0
2008-04-25,0.88,1013.88,69.0,60.42,1.75,1.71,74.08,1.54,0.0
2008-04-26,0.88,1012.75,73.25,59.75,2.17,2.12,64.62,2.17,0.0
2008-04-27,0.88,1011.88,69.38,62.96,1.42,2.29,80.17,1.5,0.0
2008-04-28,0.88,1011.79,71.29,61.79,1.62,1.67,71.96,5.42,0.0
2008-04-29,0.75,1011.75,73.25,63.0,1.83,1.67,71.46,2.75,0.0
2008-04-30,0.82,1011.04,75.04,66.0,1.62,1.54,74.38,1.88,0.0
2008-05-01,0.82,1009.96,77.58,69.67,1.71,2.04,76.62,1.25,0.0
2008-05-02,0.82,1010.0,74.91,70.43,1.52,1.78,85.3,1.65,0.0
2008-05-03,0.82,1009.85,78.4,70.55,2.0,2.9,77.15,2.9,0.0
2008-05-04,0.82,1009.79,81.62,72.46,1.67,2.04,74.96,2.29,0.0
2008-05-05,0.9,1009.79,76.04,70.42,1.54,3.25,82.67,4.21,0.0
2008-05-06,0.8,1010.21,73.96,67.58,1.46,2.25,80.58,2.5,0.0
2008-05-07,0.7,1009.92,78.71,69.46,1.58,2.58,73.38,2.96,0.0
2008-05-08,0.7,1008.88,83.25,72.58,1.79,2.5,71.46,2.88,0.0
2008-05-09,0.7,1008.46,82.5,70.96,1.92,3.58,69.62,5.08,0.0
2008-05-10,0.7,1010.0,81.0,61.0,9.0,9.0,51.0,6.0,0.0
2008-05-11,0.7,1010.21,74.17,57.21,1.71,2.08,56.0,4.33,0.0
2008-05-12,0.7,1010.0,86.0,59.0,12.0,2.0,41.0,4.0,0.0
